2:53	メディ	こんばんは！
2:53	Jジェイ	明日休み...？まっさかぁ～
2:53	パイライトテディ	でしょうね
2:54	ケバブ	頑張れー
2:54	永月河 eigetugawa	ちょっとBGM大きい？
2:54	彗星夜	耐久頑張ってください！
2:55	きゅーかんばー	がんばれー
2:55	拡散の尖兵	がんばれー
2:55	舌狐・	天鳳のレートの仕様おシエテ
2:56	えいの	がんばれー
2:57	やあけ	おとこぎあふれることをw
2:58	サカナ	栞桜マッマ
2:58	マイケル	リアルママｗ
2:58	mo's!	もうはじまってるｗ
2:59	。むあ	BGM少し下げてもいいかも…？
3:00	ユーミン	草
3:00	缶こーひー	明日お仕事です(´；ω；`)
3:00	ヤン3928	がんばれー
3:01	ずん	明日休みで助かった・・・
3:01	ムラ	リアルママ
3:02	いざよいさくや	草
3:02	真っ黒フウ	こんばんは！
3:03	リベア	27時間耐久がんばってください！
3:03	山田エミール	ママネージャー？
3:04	ぶたどん	明日の案件までには終わらせて
3:04	担々麺	頑張れー
3:04	204βわかる	草
3:04	716enate	いきなり終わる可能性もあり？
3:05	k y	草
3:05	オーレウェルギウス	こんばんはー🌸
3:06	Takebon[たけぼん]	明日は仕事なんだぜ！
3:06	Westeria	いっせんちママとしおママ
3:07	芝村	栞桜ママのほうですねｗ
3:08	key ton	こんばんは🌸
3:08	カンザキシン	だろうねｗ
3:08	太陽の塔	竹書房と打ち合わせ無いの？Ｗ
3:08	ミケ猫(Hz)	こんしおー
3:10	rapid eye rabbit	がんばれー
3:10	Rydeen2222	このままマイクラまで連続配信の可能性もあるか？
3:10	オーレウェルギウス	がんば」ー！
3:11	Kiichang	＃楠が潰す
3:11	チーズ美味しい	いい感じ！
3:11	しらかば犬	BGMちょうどよくなった ありがとー
3:13	ほのぼのevening	ところで昨日なにしてたの？
3:14	レモンP	朝までにｗｗ
3:15	ザッハトルテ。	栞桜ママ
3:15	sumk27	草
3:16	お前ら_	ママ麻雀わかる人？？
3:16	おかしろ	朝までにｗ
3:16	サカナ	草
3:16	うみとり	草
3:16	嘘800	草
3:16	はえよい	神のみぞ知る…
3:16	スーパーガク	音量調整さすが
3:17	leno nowhere	１０連荘するまでとか無理すぎへん？
3:17	ダンくま	起家嫌い
3:18	T M	草
3:18	レモンP	草
3:18	道中	明日の１４時まで続いたらどうします？
3:18	雨宮恵	草
3:19	高速ナブラ	かな？なんだ…
3:19	Nights -O	まじかw
3:19	シロ組ありす桜花	昨日何してきたの～
3:19	ɥʇɹıᙠ	早けりゃサクッと行けそうだけど沼っちゃうとね…ｗ
3:20	唐揚げ大好き	調整ありがとう
3:22	しばわん	草
3:22	リベア	おk
3:22	mischa's Lab.	草
3:22	いざよいさくや	明日🐄コラボなのにｗ
3:22	Kiichang	終わるだろ… 朝までには…
3:22	サカナ	BGMいい感じ
3:22	霧雨	草
3:23	高速フーリエ変換	良い感じ
3:23	東京特許許可局勤務の真珠	朝までにはw
3:23	やまぶどう	朝までお供するよ
3:23	パイライトテディ	ありがとうちょうどいいよ
3:23	ヤッキー趣味アカ	これから夜勤ですが、夜勤が終わった後またコメしにきます。
3:23	いろ	こんばんわー🌸
3:23	21	草
3:23	古鉄	大分良くなった
3:23	omi	BGMいいぞ
3:23	明日カン八郎	オッケー！
3:23	gk _y	BGM調整ありがたい
3:23	帰宅RTA	いい感じ
3:23	レッドウッドへいぽう	もう大丈夫だよ
3:23	kotodama1987	OK
3:24	白柳sakkon	いい感じ
3:24	トリウナギ	いい感じです
3:24	なーく#Nark	いい感じかな？
3:24	レモンP	大丈夫です～
3:25	アリス・バレンタイン	完璧
3:25	ɥʇɹıᙠ	いい感じ
3:25	たい焼き袋詰	草
3:26	レイザーRR	そうねｗｗ
3:26	mo's!	いいかんじです
3:26	ぎずも	終わるかな！
3:26	なじー	大丈夫
3:26	ちゃぼうず_cyabouzu	朝までに終われるかなぁ
3:26	筆記丸	いい感じです
3:27	妖精の灯り	ほんとに朝までやるのか…付き合うよ
3:27	捨てふぁに	ミルフィーユ鍋はミルフィーユ入らないんですよ!？(笑)
3:28	なんか青い	よさげ
3:28	太陽の塔	応援してます！
3:28	台湾の社畜	草
3:29	ns zn	おｋ
3:29	嘘800	良い感じですね
3:29	ネムレス	BGM調度いいよ
3:30	おかしろ	音量良い感じ
3:30	716enate	朝まで助かる
3:30	ふむふむ	ﾃﾞｽﾖﾈｰ
3:31	アメペリック	下がりすぎじゃない？
3:31	ヤン3928	草
