2:41	キジバト	予選落ちても本戦出れるのか
2:41	ろっきー	美味いか？
2:41	ユーミン	本物のAIさんか
2:42	レモンP	みるくれあ…？知らない単語だ…
2:42	お前ら_	食ってるｗｗｗ
2:42	*らすく*4693	麻雀
2:43	どきのこ	こんばんは
2:43	うみとり	こんばんは
2:43	十三姫	たべながらｗ かわいいｗ
2:43	ねりようかん	美味しいやつだ
2:44	wildcat5314	今日はタイムラグが強い
2:45	燻しTak庵	なんて？
2:45	おいもちん	こんはんは
2:45	shimo 636	食いながらしゃべるなｗ
2:46	なーく#Nark	ミルクレープ？
2:46	きゅーかんばー	へー
2:46	雨宮恵	なんて？
2:46	ark0125	かわいい
2:47	ケムリン	ミルクレープ？
2:47	ユーミン	かわいい
2:47	カンザキシン	うまいよねー
2:47	シヴァ村卯月	なんて？
2:47	半袖	かわいい
2:48	パイライトテディ	ミルクック！？
2:48	不思議の国の人形	かわいい
2:48	ささかま。	かわいい
2:48	彗星夜	なんて？
2:48	レモンP	なんて？
2:48	Evac 1899	なんて？？
2:49	LOG	なんて？
2:49	mo's!	なんて？ｗ
2:49	此処葉	本物のAIなんだ
2:49	まっちゃ	なんて？
2:49	ずん	なんて？
2:50	21	なんて？？？
2:50	キラス	？？？？
2:50	keg-on{けごん}	かわいいｗ
2:50	馬野郎	行事わるいな
2:50	おおくそん	かわいい
2:50	バンキッシャーVIII	なんて？
2:50	雨の宿り木	なんて？
2:50	なーく#Nark	なんて？
2:50	真っ黒フウ	美味しいやつだ！！
2:51	猫神楽	なんて？
2:51	氷水:ひすい	なんて？
2:51	Westeria	なんて？
2:51	北傘	なんて？
2:51	らにふ	なんて？
2:51	よふかし	なんて？
2:51	たい焼き袋詰	かわいい
2:52	FUJI-KEN POWER V	なんて？
2:52	郭々	かわいい
2:53	東京特許許可局勤務の真珠	かわいい
2:53	西都なつ	なんだって？ｗ
2:53	シグナルゥ	？？？？
2:53	かえるライダー	なんて？？
2:53	ハセマ・スネーク	かわいい
2:53	おくたん	ゆっくり食べてｗ
2:53	ノカゼ	なんて？
2:54	あのんまのん	なんて？
2:55	lae	ｗｗｗ
2:55	みずき	なんて？？
2:55	keg-on{けごん}	なんて？？？
2:55	ふれでぃー	なんて？
2:55	やまぶどう	なんて？
2:56	ろくじょう	はい
2:56	よっしー	なんて？？？
2:56	司-つかさ-	なんて？
2:56	あい	なるほどなあ
2:56	みづき	ミルクレアいいよねー私も毎日食べてる
2:57	Takebon[たけぼん]	なんて？
2:57	かげ	なんて？ｗ
2:58	嘘800	なんて？ｗ
2:58	ピコット	なんだって？
2:58	伊吹疾風	なんて？
2:58	おは	なんて？
2:58	pandoゴネーシャ	それ美味しいよね
2:58	鳥烏[とりからす]	なんて？
2:59	Leiros Skyly	なんて？
2:59	サナ	なんだって？
2:59	スーパーガク	なんて？
2:59	レーマリカヒ	なんて？
3:00	ぷらんと	なんて？
3:00	Jジェイ	何話してるかわっかんねw
3:01	レッドウッドへいぽう	んー
3:02	shimo 636	かわいいけれどもｗ
3:02	聖徳明太子	もぐもぐタイム
3:04	にいやまざくろ	翻訳班どこ？
3:04	ばたぁ	なんて？
3:04	ウーパーマン	なんて？
3:05	ミーアキャット	信頼の赤城乳業
3:05	ねこいゆずりは	かわいい
3:05	Vノ字	ふんもふんも
3:05	隼人	ミルクレア美味しい
3:06	なーく#Nark	お行儀が悪いぞｗ
3:06	Kingone	太るぞい
3:07	ゆずき	行儀悪いｗ
3:07	ケムリン	アイス食いながら配信するな
3:07	ミポポ	なんて？？
3:07	Jack 38	なんて？
3:08	Fumy H	かわいいなぁ
3:08	此処葉	かわいい
3:08	n0at0nナン	て？
3:09	Nights -O	こんばんは
3:09	ジェイコブ・ウエストウッド	こんばんわー
3:09	カンザキシン	食べるか話すかどっちかにしなさいｗ
3:09	ねりもの	食っていいから黙って食え
3:09	缶こーひー	なんて？
3:09	ギンジ	かわいい
3:09	さやかマギカ	美味しそう
3:10	琵琶丸	こんばんは🌸・・・もぐもぐタイム！？かわいいな
3:10	レイザーRR	なんて？
3:11	レモンP	なんて？
3:11	隼人	なんて？
3:11	あまなつみかん	なんて...？
3:11	やあけ	たべながらしゃべらない
3:12	ふむふむ	なんて？？？
3:12	お前ら_	ゆっくり食べな
3:12	ひこたろ	は？
3:12	東京特許許可局勤務の真珠	なんて？
3:13	かえるライダー	草
3:13	ガリガリマン	母国語でてますよ
3:13	銀河美少年	んー
3:13	ぐぅたら	なんて？
3:14	伊奈ぴょん	何唸ってるのｗ
3:14	てれぽん	？？
3:15	桜色の図書館	歯医者行きなさいよ
3:15	ザッハトルテ。	かわいい
3:15	趣スケベマン	なんて？
3:15	ユウケン	呪文ですか？
3:15	204βわかる	草
3:15	村人A	なんて？
3:16	スズメがサンバ	こんばんは
3:16	斎藤真方	かわいい
3:16	七海ゆう	なんて？
3:16	高速ナブラ	かわいいけどなんて？？
3:16	玄米茶	なんて？
3:16	チヒロ氏	喋るか食べるかどっちかにしなさいww
3:17	si n	かわいい
3:18	れいりす	将棋とかチェスとかと違って麻雀のAIはそこまでやな
3:19	猫のバロン	なんて？
3:19	ギンジ	なんて？
3:21	しばわん	かわいい
3:21	LOG	日本語でおｋ
3:22	いざよいさくや	楠さんお行儀がわるぅございますわよ
3:22	ユーミン	お粗末様でした
3:22	204βわかる	何言ってるかわからん
3:23	ぶたどん	ぶっ飛ばすぞ
3:25	mischa's Lab.	なんでそんなこと言うの？だけは聞こえたけどｗ
3:26	かえるライダー	はやｗｗ
3:26	ケムリン	よかったですね
3:26	Nights -O	草
3:26	なーく#Nark	おいしかった？
3:26	03cco【〇〇っこ】#NCB桜座戦2位	食べてからしゃべりなさい・・・でもかわいいからいいや
3:27	たい焼き袋詰	おいしそう
3:28	mo's!	美味しそうでなによりです
3:28	21	お粗末様でした
3:28	udnrider	なんでって
3:30	ミポポ	かわいい😇
3:30	伊奈ぴょん	良い笑顔だｗ
3:30	Evac 1899	歯医者いけ
3:31	Levith	口の中食べきってから喋りなさい
3:32	ただのひとでなし	良く噛んでな
3:32	keg-on{けごん}	おつかれｗ
3:32	sarami tarou	かわいい
3:32	嘘800	草
3:33	虚空	かわいい
3:33	妖精の灯り	かわいい
3:33	トリウナギ	いいよｗ
3:33	きゃりーほみゅぱみゅ	お粗末様でした
3:33	テーク	自由な配信好き
3:34	揚げ出し豆腐	なんて？
3:34	お前ら_	食べさせて～
3:34	高速ナブラ	おこられた
3:34	こうめ	バニラじゃないの！？
3:34	鉄おから	食べるなら静かに食べて
3:34	雨の宿り木	歯にしみない？
3:35	ns zn	ｷｬｯｷｬｯ
3:35	レモンP	食レポ食レポ
3:35	pv order	あ、ナーガかこれ
3:35	雨宮恵	かわいい
3:35	Riritan	妖精語？
3:35	black AYANE	翻訳が必要だったｗ
3:35	マイケル	いいよ。
3:36	てれぽん	かわいい
3:36	隼人	食べながら喋っちゃダメでしょ
3:36	缶こーひー	歯は大丈夫なの？
3:36	やまぶどう	草
3:37	ひろやん	こんばんは
3:37	ギンジ	草
3:38	桜色の図書館	かわいい
3:38	maguna	こんばんは。。。
3:38	なーく#Nark	えーｗ
3:39	*らすく*4693	叱られて嬉しそう
3:39	ケムリン	草
3:40	桑原みー	好きにやってｗ
3:41	山本たろう	こんばんは❗
