2:43	神無月健二	こんにちはー🌸
2:43	白柳sakkon	そこから……
2:44	柿垣夏記	そこからなのねｗ
2:45	シロ組ドルフィンズ	剣
2:45	りべ	そっからかｗ
2:45	みずき	ニックネームつけれるよ
2:45	あのんまのん	つけれるぞ
2:45	帰宅RTA	ニックネームつけられるね
2:45	FUJI-KEN POWER V	ニックネームつけられるよ
2:46	みづき	名前たのしみ
2:46	紅葉	ソードかあ
2:46	レイザーRR	全部名前つけれるぞ～
2:46	CP対称性の破れ	ソルト！
2:47	ゆいゆい	剣お揃い
2:47	にがうり	せやな
2:47	ねこにく	そーど！
2:47	Kiichang	サイトウが！良いというのか！
2:47	つぁいす	パワー系のソードか
2:47	ガリガリマン	犬にも名前付いてるやろ？
2:47	やくい五六八	ソードで初めてポケモンしたけど楽しかったよ！
2:48	_ MAKA	変えれるよ
2:48	gaty fs	ニックネーム付けられます
2:49	芝村	そりゃそうじゃ（オオキド
2:49	sarami tarou	かわいい
2:50	キハク	こんにちはー
2:50	エスカる	主人公ちゃんほんとかわいい
2:50	りんほん	それが理由…？
2:51	桜餅そら	かわいい女の子助かる
2:51	辻洋平	重要なことよね！
2:51	甘雲マコト	かわいい
2:52	グリヴェン	しおちゃんは手役攻撃型
2:52	もふもふオオカミ	ｷﾀ――(ﾟ∀ﾟ)――!!
2:52	やあけ	そこなんだw
2:52	ryo Y	かわいい
2:52	ゆう	かわいい
2:52	与謝蕪村	ウキウキ栞桜ちゃんかわいい
2:53	榎本榎本	かわいい
2:53	灰色狼	ソード！
2:53	シヴァ村卯月	かわいい
2:54	雨宮恵	右側に可愛い女の子いるね
2:54	たびオカ	ねて
2:54	やまぶどう	サイトウ派
2:54	あのにます	お子様かな？
2:54	いしゅとんmarkII	ニックネームつけてもつけなくてもオッケー
2:54	Gyamo丸	寝れなかったｗｗｗｗ
2:54	ぷももみ	役の名前になりそう
2:54	ゆんゆん	サイトーさん目当てｗ
2:54	樹海	難易度はガチンコにしよう
2:54	桜餅そら	かわいい
2:54	いっちゃん	ちゃんと寝て
2:54	カンザキシン	寝てよーちゃんと
2:55	KUROもこ	ちゃんと寝て
2:55	打ッ火覇神	ゲーム好きでポケモンやったことない人居るのめずらしい
2:56	高速フーリエ変換	女の子目当てで草
2:56	*ねう*	寝たならおけ！
